userid,totalEvents,totalTime,totalTimeBetweenClicks,meanTimeBetweenClicks,stdTimeBetweenClicks,meanClicksPerSecond,stdClicksPerSecond,meanClicksPerMinute,stdClicksPerMinute,mostFrequentItemAction
310,74,103817,103817,1402.9324324324327,10235.677467297912,1.15625,0.4070314523161609,2.3870967741935485,2.2609351952210504,892570 v4
206,191,709349,709349,3713.869109947638,45882.98111590793,1.1575757575757577,0.540455038082918,4.340909090909092,6.6365555012955255,0 back_button
223,52,11052,11052,212.53846153846146,1256.447676267336,1.0,0.0,1.793103448275862,1.0481040823733516,0 next_button
412,56,2897,2897,51.732142857142854,98.99669251985202,1.3333333333333335,0.7213357077339457,2.24,1.8991226044325482,2147483647 v3
319,143,4252,4252,29.734265734265712,93.47025971609195,1.74390243902439,1.9614241211316168,4.931034482758621,8.79501090100339,5339 v4
303,36,2283,2283,63.416666666666664,116.72149391974533,1.5,1.0215078369104984,2.25,2.816617356570348,2147483647 v4
408,53,2872,2872,54.18867924528301,103.31003685765364,1.5142857142857142,0.981338478856319,2.7894736842105265,2.780466534962575,2147483647 v3
106,26,344743,344743,13259.346153846156,67555.8205545265,1.04,0.20000000000000004,5.2,4.207136793592526,0 back_button
108,34,3188,3188,93.76470588235294,219.42943351413712,1.096774193548387,0.3962186862224295,2.615384615384616,2.103111248383433,4299045 tab-r3
406,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,4755 window
306,97,263683,263683,2718.381443298966,24118.684168711792,1.6440677966101696,0.9784349195915357,4.217391304347826,5.1341682670581035,307909 v4
325,229,279601,279601,1220.9650655021835,12366.856115560851,2.6022727272727275,2.3999031241332776,6.542857142857142,28.812112298928213,217554 v4
321,10,1767,1767,176.70000000000002,267.05806692760865,1.1111111111111112,0.33333333333333337,1.6666666666666667,0.816496580927726,3389 window
301,36,316,316,8.777777777777779,20.14108964439343,1.2857142857142858,0.4600437062282362,7.2,7.19027120489902,192838 v4
409,282,2691,2691,9.542553191489374,36.52776399141428,2.6857142857142855,3.414658124891874,11.279999999999998,19.588517044431928,2104322 v2
213,5,84,84,16.8,28.761084819596082,1.0,0.0,2.5,2.1213203435596424,0 cooking_for
304,47,1962,1962,41.744680851063826,82.61131307017544,1.205128205128205,0.46901280307332094,2.764705882352941,3.5799687806722886,2147483647 v4
317,21,4373,4373,208.23809523809527,375.8359887985589,1.105263157894737,0.3153017676423058,1.6153846153846154,0.869718492622904,205779 v4
323,27,4705,4705,174.25925925925927,389.9773753390743,1.0,0.0,1.588235294117647,0.7952062255644572,3791475 window
225,109,123573,123573,1133.697247706423,11436.138148434766,1.028301886792453,0.16662173698080732,2.270833333333333,2.4731716507724237,0 next_button
211,99,869949,869949,8787.36363636363,84605.24527504246,1.03125,0.17490598978639324,2.3023255813953485,1.933844969914431,0 next_button
221,124,3516,3516,28.35483870967742,43.52108050061779,1.0,0.0,2.7555555555555555,2.1442900452083893,0 next_button
209,60,2407,2407,40.11666666666666,40.214295319234424,1.0,0.0,1.8181818181818181,1.1579762911688183,0 video_end
124,51,11138,11138,218.39215686274517,1058.5470434219042,1.0,0.0,1.8214285714285716,1.5408889072021466,0 video_end
314,37,3225,3225,87.16216216216216,205.86113354955157,1.0,0.0,1.5416666666666665,0.832970935693524,1107104 v4
419,16,2780,2780,173.75,303.33446886234344,1.0666666666666667,0.25819888974716115,2.0,1.3093073414159542,2147483647 tab-r2
311,38,2736,2736,72.0,141.1008839783063,1.2258064516129032,0.5603378397214093,3.166666666666667,2.516611478423583,0 window
405,31,368504,368504,11887.225806451615,52829.30591298083,1.1481481481481481,0.3620139928982458,1.7222222222222223,0.8264420947336312,186869 window
307,39,22177,22177,568.6410256410259,1967.9725271828083,1.054054054054054,0.22924343513512552,1.6956521739130435,1.0195713274212868,0 window
